"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"07","40088","MATH 152 (4, 4)","Calc/Integrtn &amp; Infi","M, W","5:00 PM - 6:50 PM","Rothstein, Jacqueline","KY 414","25","25","In-Person",
"08","40089","MATH 152 (4, 4)","Calc/Integrtn &amp; Infi","M, W","8:30 PM - 10:20 PM","Rothstein, Jacqueline","KY 242","24","25","In-Person",
"01","40082","MATH 152 (4, 4)","Calc/Integrtn &amp; Infi","T, TH","2:15 PM - 4:05 PM","Sultan, Alan","KY 242","25","25","In-Person",
"02","40083","MATH 152 (4, 4)","Calc/Integrtn &amp; Infi","M, W","10:05 AM - 11:55 AM","Maller, Michael","KY 420","21","25","In-Person",
"01","40090","MATH 158 (4, 4)","Honors Calculus II","T, TH","4:00 PM - 5:50 PM","Terilla, John","KY 326","9","25","In-Person",
"01","40091","MATH 201 (4, 4)","Calculus","T, TH","12:10 PM - 2:00 PM","Kahan, Steven","KY 420","25","25","In-Person",
"02","40092","MATH 201 (4, 4)","Calculus","M, W","1:40 PM - 3:30 PM","Hanusa, Christopher","KY 242","23","25","In-Person",
"03","40093","MATH 201 (4, 4)","Calculus","T, TH","6:30 PM - 8:20 PM","Koroveshi, Blendi","KY 283","10","25","In-Person",
"04","40094","MATH 201 (4, 4)","Calculus","M, W","8:30 PM - 10:20 PM","Berman, Gary","KY 320","25","25","In-Person",
"QI1","55998","MATH 201 (4, 4)","Calculus","&nbsp;"," - ","London, Michael","QH 007","19","20","In-Person",
"01","40095","MATH 202 (4, 4)","Advanced Calculus","M, W","1:40 PM - 3:30 PM","Sabitova, Maria","KY 334","25","25","In-Person",
"02","40096","MATH 202 (4, 4)","Advanced Calculus","M, W","8:30 PM - 10:20 PM","Rothenberg, Ronald","KY 434","29","25","In-Person",
"01","40095","MATH 202 (4, 4)","Advanced Calculus","M, W","1:40 PM - 3:30 PM","Dodziuk, Jozef","KY 334","25","25","In-Person",
"01","40097","MATH 208 (5, 5)","Honors Calculus 4","M, W","1:40 PM - 3:30 PM","Wilson, Scott","KY 326","7","25","In-Person",
"01","40098","MATH 220 (3, 3)","Discrete Mathematics","T, TH","10:45 AM - 12:00 PM","Miller, David","KY 334","32","25","In-Person",
